#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NW_026260786.1       -         CD_10                -         hmm        6      111  1019598  1019490      -     -    6 0.51   0.0   27.7   0.00011 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260901.1       -         CD_17                -         hmm       12       78    41784    41860      +     -    6 0.32   1.0   12.8       4.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_120, whole genome shotgun sequence
NW_026260801.1       -         CD_17                -         hmm        4       47   128626   128669      +     -    6 0.39   0.0   12.8       4.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_20, whole genome shotgun sequence
NW_026260796.1       -         CD_17                -         hmm        4       47   401058   401015      -     -    6 0.39   0.0   12.7         5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_15, whole genome shotgun sequence
NW_026261260.1       -         CD_17                -         hmm       25       48    11984    12013      +     -    6 0.47   0.0   12.7       5.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_479, whole genome shotgun sequence
NW_026260783.1       -         CD_17                -         hmm        4       47   181301   181344      +     -    6 0.39   0.0   12.6       5.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026261291.1       -         CD_17                -         hmm       25       48     8640     8611      -     -    6 0.47   0.0   12.6       5.4 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_510, whole genome shotgun sequence
NW_026260797.1       -         CD_17                -         hmm       10       49   763863   763817      -     -    6 0.38   0.1   12.5       5.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260803.1       -         CD_17                -         hmm       54       87   223116   223079      -     -    6 0.32   0.0   12.5       6.1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_22, whole genome shotgun sequence
NW_026260796.1       -         CD_17                -         hmm        3       60   360444   360393      -     -    6 0.38   0.0   12.3       6.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_15, whole genome shotgun sequence
NW_026260802.1       -         CD_17                -         hmm       10       60    97370    97318      -     -    6 0.42   0.0   11.9       9.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_21, whole genome shotgun sequence
NW_026260825.1       -         CD_18                -         hmm       58       99   209515   209473      -     -    6 0.40   0.0   27.8   0.00014 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_44, whole genome shotgun sequence
NW_026260839.1       -         CD_18                -         hmm       58       99    48231    48189      -     -    6 0.44   0.0   27.1   0.00024 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_58, whole genome shotgun sequence
NW_026261229.1       -         CD_18                -         hmm       58       99      665      624      -     -    6 0.45   0.0   27.0   0.00025 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_448, whole genome shotgun sequence
NW_026261072.1       -         CD_18                -         hmm       59       99    10186    10145      -     -    6 0.43   0.0   26.9   0.00027 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_291, whole genome shotgun sequence
NW_026261104.1       -         CD_18                -         hmm       59       99     6722     6763      +     -    6 0.43   0.0   26.9   0.00027 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_323, whole genome shotgun sequence
NW_026261310.1       -         CD_18                -         hmm       59       99      228      269      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_529, whole genome shotgun sequence
NW_026261037.1       -         CD_18                -         hmm       59       99     7157     7116      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_256, whole genome shotgun sequence
NW_026261037.1       -         CD_18                -         hmm       59       99    16969    16928      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_256, whole genome shotgun sequence
NW_026261064.1       -         CD_18                -         hmm       59       99     8187     8228      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_283, whole genome shotgun sequence
NW_026261064.1       -         CD_18                -         hmm       59       99    18051    18092      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_283, whole genome shotgun sequence
NW_026261072.1       -         CD_18                -         hmm       59       99      361      320      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_291, whole genome shotgun sequence
NW_026261072.1       -         CD_18                -         hmm       59       99    20008    19967      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_291, whole genome shotgun sequence
NW_026261098.1       -         CD_18                -         hmm       59       99     8879     8838      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_317, whole genome shotgun sequence
NW_026261098.1       -         CD_18                -         hmm       59       99    18690    18649      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_317, whole genome shotgun sequence
NW_026261103.1       -         CD_18                -         hmm       59       99     8128     8087      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_322, whole genome shotgun sequence
NW_026261103.1       -         CD_18                -         hmm       59       99    17949    17908      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_322, whole genome shotgun sequence
NW_026261104.1       -         CD_18                -         hmm       59       99    16502    16543      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_323, whole genome shotgun sequence
NW_026261113.1       -         CD_18                -         hmm       59       99     3459     3500      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_332, whole genome shotgun sequence
NW_026261113.1       -         CD_18                -         hmm       59       99    13271    13312      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_332, whole genome shotgun sequence
NW_026261121.1       -         CD_18                -         hmm       59       99     5319     5360      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_340, whole genome shotgun sequence
NW_026261121.1       -         CD_18                -         hmm       59       99    15131    15172      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_340, whole genome shotgun sequence
NW_026261126.1       -         CD_18                -         hmm       59       99     5830     5871      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_345, whole genome shotgun sequence
NW_026261126.1       -         CD_18                -         hmm       59       99    15594    15635      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_345, whole genome shotgun sequence
NW_026261139.1       -         CD_18                -         hmm       59       99     4641     4682      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_358, whole genome shotgun sequence
NW_026261139.1       -         CD_18                -         hmm       59       99    14453    14494      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_358, whole genome shotgun sequence
NW_026261142.1       -         CD_18                -         hmm       59       99     5170     5211      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_361, whole genome shotgun sequence
NW_026261142.1       -         CD_18                -         hmm       59       99    14949    14990      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_361, whole genome shotgun sequence
NW_026261148.1       -         CD_18                -         hmm       59       99    17951    17992      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_367, whole genome shotgun sequence
NW_026261150.1       -         CD_18                -         hmm       59       99     8854     8813      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_369, whole genome shotgun sequence
NW_026261150.1       -         CD_18                -         hmm       59       99    18481    18440      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_369, whole genome shotgun sequence
NW_026261163.1       -         CD_18                -         hmm       59       99     9855     9896      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_382, whole genome shotgun sequence
NW_026261189.1       -         CD_18                -         hmm       59       99     1983     1942      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_408, whole genome shotgun sequence
NW_026261189.1       -         CD_18                -         hmm       59       99    11795    11754      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_408, whole genome shotgun sequence
NW_026261191.1       -         CD_18                -         hmm       59       99     3850     3891      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_410, whole genome shotgun sequence
NW_026261191.1       -         CD_18                -         hmm       59       99    13477    13518      +     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_410, whole genome shotgun sequence
NW_026261204.1       -         CD_18                -         hmm       59       99     6057     6016      -     -    6 0.43   0.0   26.9   0.00028 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_423, whole genome shotgun sequence
