#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NW_026260788.1       -         tRNA                 RF00005    cm        1       71  1018870  1018941      +    no    1 0.60   0.0   66.2   4.3e-13 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260807.1       -         tRNA                 RF00005    cm        1       71    44909    44981      +    no    1 0.48   0.0   58.4   6.3e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_26, whole genome shotgun sequence
NW_026260819.1       -         tRNA                 RF00005    cm        1       71    67780    67852      +    no    1 0.56   0.0   58.2   7.2e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260819.1       -         tRNA                 RF00005    cm        1       71    74615    74543      -    no    1 0.56   0.0   58.2   7.2e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260805.1       -         tRNA                 RF00005    cm        1       71   494231   494158      -    no    1 0.57   0.0   58.1   7.6e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_24, whole genome shotgun sequence
NW_026260809.1       -         tRNA                 RF00005    cm        1       71   316024   315951      -    no    1 0.57   0.0   58.1   7.6e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260976.1       -         tRNA                 RF00005    cm        1       71    15379    15306      -    no    1 0.57   0.0   58.1   7.6e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_195, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  2074582  2074653      +    no    1 0.58   0.0   58.0   8.1e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260790.1       -         tRNA                 RF00005    cm        1       71   266664   266735      +    no    1 0.58   0.0   58.0   8.1e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026260790.1       -         tRNA                 RF00005    cm        1       71   534506   534435      -    no    1 0.58   0.0   58.0   8.1e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026260821.1       -         tRNA                 RF00005    cm        1       71   256213   256284      +    no    1 0.60   0.0   58.0   8.3e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_40, whole genome shotgun sequence
NW_026261089.1       -         tRNA                 RF00005    cm        1       71    10517    10588      +    no    1 0.60   0.0   58.0   8.3e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_308, whole genome shotgun sequence
NW_026260819.1       -         tRNA                 RF00005    cm        1       71    79515    79587      +    no    1 0.55   0.0   57.7   9.8e-11 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260790.1       -         tRNA                 RF00005    cm        1       71    92235    92163      -    no    1 0.56   0.0   57.5   1.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026260790.1       -         tRNA                 RF00005    cm        1       71    92701    92629      -    no    1 0.56   0.0   57.5   1.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026260809.1       -         tRNA                 RF00005    cm        1       71   520369   520297      -    no    1 0.56   0.0   57.5   1.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260819.1       -         tRNA                 RF00005    cm        1       71    97249    97321      +    no    1 0.56   0.0   57.5   1.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260922.1       -         tRNA                 RF00005    cm        1       71    38730    38658      -    no    1 0.56   0.0   57.5   1.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_141, whole genome shotgun sequence
NW_026260978.1       -         tRNA                 RF00005    cm        1       71    23994    23922      -    no    1 0.56   0.0   57.5   1.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_197, whole genome shotgun sequence
NW_026260824.1       -         tRNA                 RF00005    cm        1       71   160086   160158      +    no    1 0.51   0.0   57.3   1.3e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_43, whole genome shotgun sequence
NW_026260787.1       -         tRNA                 RF00005    cm        1       71  1117152  1117080      -    no    1 0.52   0.0   57.1   1.4e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_6, whole genome shotgun sequence
NW_026260797.1       -         tRNA                 RF00005    cm        1       71   453410   453482      +    no    1 0.52   0.0   57.1   1.4e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260782.1       -         tRNA                 RF00005    cm        1       71   357780   357709      -    no    1 0.61   0.0   57.0   1.6e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260782.1       -         tRNA                 RF00005    cm        1       71   502583   502654      +    no    1 0.61   0.0   57.0   1.6e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260797.1       -         tRNA                 RF00005    cm        1       71   364173   364101      -    no    1 0.51   0.0   56.9   1.7e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260909.1       -         tRNA                 RF00005    cm        1       71    30463    30535      +    no    1 0.59   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_128, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  1590190  1590262      +    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71    78701    78629      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71    83357    83429      +    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71    83603    83531      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71    98423    98351      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260786.1       -         tRNA                 RF00005    cm        1       71   893859   893931      +    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260786.1       -         tRNA                 RF00005    cm        1       71   912682   912754      +    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260790.1       -         tRNA                 RF00005    cm        1       71    50579    50507      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026260799.1       -         tRNA                 RF00005    cm        1       71   469005   468933      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260799.1       -         tRNA                 RF00005    cm        1       71   470403   470331      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260799.1       -         tRNA                 RF00005    cm        1       71   473518   473590      +    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260799.1       -         tRNA                 RF00005    cm        1       71   473984   474056      +    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260799.1       -         tRNA                 RF00005    cm        1       71   494180   494252      +    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260799.1       -         tRNA                 RF00005    cm        1       71   494646   494718      +    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260799.1       -         tRNA                 RF00005    cm        1       71   505230   505158      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260809.1       -         tRNA                 RF00005    cm        1       71   501090   501018      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260809.1       -         tRNA                 RF00005    cm        1       71   512097   512025      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260819.1       -         tRNA                 RF00005    cm        1       71    79981    80053      +    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260819.1       -         tRNA                 RF00005    cm        1       71    97715    97787      +    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260884.1       -         tRNA                 RF00005    cm        1       71     7016     6944      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_103, whole genome shotgun sequence
NW_026260909.1       -         tRNA                 RF00005    cm        1       71    40632    40560      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_128, whole genome shotgun sequence
NW_026260910.1       -         tRNA                 RF00005    cm        1       71    10400    10328      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_129, whole genome shotgun sequence
NW_026260910.1       -         tRNA                 RF00005    cm        1       71    11242    11170      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_129, whole genome shotgun sequence
NW_026260921.1       -         tRNA                 RF00005    cm        1       71    10405    10333      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_140, whole genome shotgun sequence
NW_026260922.1       -         tRNA                 RF00005    cm        1       71    27455    27527      +    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_141, whole genome shotgun sequence
NW_026260922.1       -         tRNA                 RF00005    cm        1       71    32512    32440      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_141, whole genome shotgun sequence
NW_026261045.1       -         tRNA                 RF00005    cm        1       71     5619     5547      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_264, whole genome shotgun sequence
NW_026261045.1       -         tRNA                 RF00005    cm        1       71    25043    25115      +    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_264, whole genome shotgun sequence
NW_026261045.1       -         tRNA                 RF00005    cm        1       71    25289    25217      -    no    1 0.58   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_264, whole genome shotgun sequence
NW_026260909.1       -         tRNA                 RF00005    cm        1       71    41330    41402      +    no    1 0.59   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_128, whole genome shotgun sequence
NW_026260804.1       -         tRNA                 RF00005    cm        1       71   266781   266853      +    no    1 0.51   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_23, whole genome shotgun sequence
NW_026261109.1       -         tRNA                 RF00005    cm        1       71     9798     9870      +    no    1 0.51   0.0   56.6     2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_328, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71   231462   231392      -    no    1 0.56   0.0   56.5   2.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71   231583   231653      +    no    1 0.56   0.0   56.5   2.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71   233214   233144      -    no    1 0.56   0.0   56.5   2.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71   237458   237528      +    no    1 0.56   0.0   56.5   2.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260792.1       -         tRNA                 RF00005    cm        1       71   507179   507249      +    no    1 0.56   0.0   56.5   2.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_11, whole genome shotgun sequence
NW_026260788.1       -         tRNA                 RF00005    cm        1       71   966215   966286      +    no    1 0.58   0.0   56.5   2.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260782.1       -         tRNA                 RF00005    cm        1       71   388498   388581      +    no    1 0.55   0.0   56.3   2.5e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71  1015030  1015113      +    no    1 0.56   0.0   56.3   2.5e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260922.1       -         tRNA                 RF00005    cm        1       71     8984     9056      +    no    1 0.59   0.0   56.0     3e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_141, whole genome shotgun sequence
NW_026260922.1       -         tRNA                 RF00005    cm        1       71    23681    23609      -    no    1 0.59   0.0   56.0     3e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_141, whole genome shotgun sequence
NW_026260791.1       -         tRNA                 RF00005    cm        1       71  1190781  1190853      +    no    1 0.55   0.0   55.8   3.5e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026260791.1       -         tRNA                 RF00005    cm        1       71  1191247  1191319      +    no    1 0.55   0.0   55.8   3.5e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71  1102247  1102175      -    no    1 0.59   0.0   55.7   3.6e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71    74442    74370      -    no    1 0.55   0.0   55.6     4e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260819.1       -         tRNA                 RF00005    cm        1       71    57912    57984      +    no    1 0.55   0.0   55.6     4e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_38, whole genome shotgun sequence
NW_026260881.1       -         tRNA                 RF00005    cm        1       71    43318    43390      +    no    1 0.55   0.0   55.6     4e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_100, whole genome shotgun sequence
NW_026260909.1       -         tRNA                 RF00005    cm        1       71     1969     1897      -    no    1 0.55   0.0   55.6     4e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_128, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  2225418  2225332      -    no    1 0.49   0.0   55.5   4.1e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260982.1       -         tRNA                 RF00005    cm        1       71    25228    25142      -    no    1 0.49   0.0   55.5   4.1e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_201, whole genome shotgun sequence
NW_026260794.1       -         tRNA                 RF00005    cm        1       71   961484   961570      +    no    1 0.48   0.0   55.4   4.3e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_13, whole genome shotgun sequence
NW_026260820.1       -         tRNA                 RF00005    cm        1       71   161175   161103      -    no    1 0.56   0.0   55.3   4.7e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_39, whole genome shotgun sequence
NW_026260862.1       -         tRNA                 RF00005    cm        1       71    48776    48704      -    no    1 0.56   0.0   55.3   4.7e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_81, whole genome shotgun sequence
NW_026260784.1       -         tRNA                 RF00005    cm        1       71   762970   763066      +    no    1 0.61   0.0   55.1   5.3e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_3, whole genome shotgun sequence
NW_026260843.1       -         tRNA                 RF00005    cm        1       71    27644    27726      +    no    1 0.51   0.0   54.9   6.1e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_62, whole genome shotgun sequence
NW_026260787.1       -         tRNA                 RF00005    cm        1       71  1265185  1265106      -    no    1 0.50   0.0   54.8   6.5e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_6, whole genome shotgun sequence
NW_026260793.1       -         tRNA                 RF00005    cm        1       71   896297   896402      +    no    1 0.58   0.0   54.8   6.5e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_12, whole genome shotgun sequence
NW_026260793.1       -         tRNA                 RF00005    cm        1       71   897844   897949      +    no    1 0.56   0.0   54.8   6.5e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_12, whole genome shotgun sequence
NW_026260804.1       -         tRNA                 RF00005    cm        1       71   535676   535603      -    no    1 0.53   0.0   54.6   7.5e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_23, whole genome shotgun sequence
NW_026260790.1       -         tRNA                 RF00005    cm        1       71   339766   339871      +    no    1 0.56   0.0   54.5   7.8e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026260786.1       -         tRNA                 RF00005    cm        1       71   899235   899307      +    no    1 0.56   0.0   54.5   7.8e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026261022.1       -         tRNA                 RF00005    cm        1       71    16463    16391      -    no    1 0.56   0.0   54.5   7.8e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_241, whole genome shotgun sequence
NW_026261022.1       -         tRNA                 RF00005    cm        1       71    16929    16857      -    no    1 0.56   0.0   54.5   7.8e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_241, whole genome shotgun sequence
NW_026260784.1       -         tRNA                 RF00005    cm        1       71   367153   367065      -    no    1 0.52   0.0   54.5   8.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_3, whole genome shotgun sequence
NW_026260782.1       -         tRNA                 RF00005    cm        1       71   203728   203646      -    no    1 0.53   0.0   54.4   8.2e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260843.1       -         tRNA                 RF00005    cm        1       71    35610    35681      +    no    1 0.61   0.0   54.4   8.5e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_62, whole genome shotgun sequence
NW_026261137.1       -         tRNA                 RF00005    cm        1       71     1988     1905      -    no    1 0.58   0.0   54.2   9.5e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_356, whole genome shotgun sequence
NW_026260829.1       -         tRNA                 RF00005    cm        1       71   135600   135517      -    no    1 0.60   0.0   54.2   9.5e-10 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_48, whole genome shotgun sequence
NW_026260788.1       -         tRNA                 RF00005    cm        1       71   345977   346057      +    no    1 0.54   0.0   54.0   1.1e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260858.1       -         tRNA                 RF00005    cm        1       71    92764    92692      -    no    1 0.56   0.0   54.0   1.1e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_77, whole genome shotgun sequence
NW_026260938.1       -         tRNA                 RF00005    cm        1       71     5385     5457      +    no    1 0.56   0.0   54.0   1.1e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_157, whole genome shotgun sequence
NW_026260938.1       -         tRNA                 RF00005    cm        1       71     5851     5923      +    no    1 0.56   0.0   54.0   1.1e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_157, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71  1015360  1015277      -    no    1 0.55   0.0   53.9   1.1e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260804.1       -         tRNA                 RF00005    cm        1       71   535321   535248      -    no    1 0.53   0.0   53.9   1.2e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_23, whole genome shotgun sequence
NW_026260799.1       -         tRNA                 RF00005    cm        1       71   469471   469399      -    no    1 0.56   0.0   53.8   1.3e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260799.1       -         tRNA                 RF00005    cm        1       71   469937   469865      -    no    1 0.56   0.0   53.8   1.3e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260792.1       -         tRNA                 RF00005    cm        1       71   641533   641614      +    no    1 0.50   0.0   53.6   1.4e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_11, whole genome shotgun sequence
NW_026260809.1       -         tRNA                 RF00005    cm        1       71   498253   498181      -    no    1 0.59   0.0   53.5   1.5e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260809.1       -         tRNA                 RF00005    cm        1       71   501556   501484      -    no    1 0.59   0.0   53.5   1.5e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_28, whole genome shotgun sequence
NW_026260836.1       -         tRNA                 RF00005    cm        1       71    48287    48215      -    no    1 0.59   0.0   53.4   1.6e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_55, whole genome shotgun sequence
NW_026260783.1       -         tRNA                 RF00005    cm        1       71  1558597  1558669      +    no    1 0.53   0.0   53.4   1.6e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260785.1       -         tRNA                 RF00005    cm        1       71   106580   106508      -    no    1 0.53   0.0   53.4   1.6e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_4, whole genome shotgun sequence
NW_026260884.1       -         tRNA                 RF00005    cm        1       71     4163     4091      -    no    1 0.59   0.0   53.2   1.8e-09 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_103, whole genome shotgun sequence
