#target name         accession query name               accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- ------------------------ --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NW_026260995.1       -         Fungi_SRP_Agaricomycetes -          cm        1      266     6484     6215      -    no    1 0.53   0.0  240.4     7e-69 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_214, whole genome shotgun sequence
NW_026261046.1       -         U2_Agaricomycetes    -          cm        1      188    15364    15174      -    no    1 0.53   0.0  206.5   7.3e-50 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_265, whole genome shotgun sequence
NW_026260782.1       -         U2_Agaricomycetes    -          cm        1      188  2325080  2325270      +    no    1 0.53   0.0  201.3   1.7e-48 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260799.1       -         U2_Agaricomycetes    -          cm        1      188    58101    58296      +    no    1 0.52   0.0  186.9     1e-44 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260846.1       -         U2_Agaricomycetes    -          cm        1      188    11434    11239      -    no    1 0.52   0.0  186.9     1e-44 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_65, whole genome shotgun sequence
NW_026260799.1       -         U2_Agaricomycetes    -          cm        1      188   244673   244830      +    no    1 0.49   0.0   27.0     0.011 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_18, whole genome shotgun sequence
NW_026260782.1       -         U2_Agaricomycetes    -          cm        1      188  1915312  1915146      -    no    1 0.49   0.0   19.4         1 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260783.1       -         U4atac_Agaricomycetes -          cm        1      120  2182538  2182657      +    no    1 0.47   0.0  151.6   1.7e-29 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260982.1       -         U4atac_Agaricomycetes -          cm        1      120     5909     6028      +    no    1 0.47   0.0  151.6   1.7e-29 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_201, whole genome shotgun sequence
NW_026260791.1       -         U4atac_Agaricomycetes -          cm        1      120   902655   902579      -    no    1 0.45   0.0   24.6       0.9 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026260797.1       -         U4atac_Agaricomycetes -          cm        1      120   869169   869272      +    no    1 0.52   0.0   20.4       8.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260783.1       -         U4_Agaricomycetes    -          cm        1      130  2182535  2182664      +    no    1 0.47   0.0  162.0   4.6e-34 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_2, whole genome shotgun sequence
NW_026260982.1       -         U4_Agaricomycetes    -          cm        1      130     5906     6035      +    no    1 0.47   0.0  162.0   4.6e-34 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_201, whole genome shotgun sequence
NW_026260797.1       -         U4_Agaricomycetes    -          cm        1      130   869158   869279      +    no    1 0.52   0.0   23.6      0.57 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260791.1       -         U4_Agaricomycetes    -          cm        1      130   398081   397972      -    no    1 0.45   0.0   20.0       4.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026260995.1       -         U4_Agaricomycetes    -          cm        1      130    27788    27679      -    no    1 0.45   0.0   20.0       4.3 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_214, whole genome shotgun sequence
NW_026260790.1       -         U4_Agaricomycetes    -          cm        1      130   388652   388552      -    no    1 0.37   0.0   19.8       4.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_9, whole genome shotgun sequence
NW_026260844.1       -         U4_Agaricomycetes    -          cm        1      130    29972    29864      -    no    1 0.46   0.0   18.5       9.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_63, whole genome shotgun sequence
NW_026260855.1       -         U4_Agaricomycetes    -          cm        1      130    68050    68173      +    no    1 0.44   0.0   18.5       9.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_74, whole genome shotgun sequence
NW_026260782.1       -         U5_Agaricomycetes    -          cm        1      118  1702449  1702566      +    no    1 0.55   0.0  110.6   9.9e-21 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_1, whole genome shotgun sequence
NW_026260801.1       -         U5_Agaricomycetes    -          cm        1      118   539079   539203      +    no    1 0.42   0.0   24.8       1.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_20, whole genome shotgun sequence
NW_026260791.1       -         U6_Agaricomycetes    -          cm        1      117   804582   804466      -    no    1 0.49   0.0  151.6   1.4e-41 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026260808.1       -         U6_Agaricomycetes    -          cm        1      117    59820    59936      +    no    1 0.49   0.0  151.6   1.4e-41 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_27, whole genome shotgun sequence
NW_026260791.1       -         U6_Agaricomycetes    -          cm        1      117   857643   857527      -    no    1 0.45   0.0  143.1   5.8e-39 !   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_10, whole genome shotgun sequence
NW_026260797.1       -         U6_Agaricomycetes    -          cm        1      117   811244   811356      +    no    1 0.49   0.0   22.8     0.033 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260786.1       -         U6_Agaricomycetes    -          cm        1       43   769249   769291      +    no    1 0.44   0.0   21.0      0.11 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_5, whole genome shotgun sequence
NW_026260798.1       -         U6_Agaricomycetes    -          cm        1      117   176432   176337      -    no    1 0.31   0.0   19.0      0.47 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_17, whole genome shotgun sequence
NW_026261003.1       -         U6_Agaricomycetes    -          cm        1      117     5693     5598      -    no    1 0.31   0.0   19.0      0.47 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_222, whole genome shotgun sequence
NW_026261123.1       -         U6_Agaricomycetes    -          cm        1      117    16949    16837      -    no    1 0.48   0.0   18.5      0.66 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_342, whole genome shotgun sequence
NW_026260815.1       -         U6_Agaricomycetes    -          cm        1      117   291213   291109      -    no    1 0.39   0.0   18.5      0.67 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_34, whole genome shotgun sequence
NW_026260788.1       -         U6_Agaricomycetes    -          cm        1      117   699468   699350      -    no    1 0.46   0.0   18.3      0.76 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_7, whole genome shotgun sequence
NW_026260792.1       -         U6_Agaricomycetes    -          cm        1      117  1109245  1109142      -    no    1 0.52   0.0   16.6       2.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_11, whole genome shotgun sequence
NW_026260825.1       -         U6_Agaricomycetes    -          cm        1      117   156328   156235      -    no    1 0.40   0.0   16.3       3.2 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_44, whole genome shotgun sequence
NW_026260797.1       -         U6_Agaricomycetes    -          cm        1      117   578413   578301      -    no    1 0.49   0.0   16.1       3.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_16, whole genome shotgun sequence
NW_026260825.1       -         U6_Agaricomycetes    -          cm        1      117   101433   101330      -    no    1 0.41   0.0   16.1       3.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_44, whole genome shotgun sequence
NW_026261052.1       -         U6_Agaricomycetes    -          cm        1      117    16435    16332      -    no    1 0.41   0.0   16.1       3.8 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_271, whole genome shotgun sequence
NW_026260787.1       -         U6_Agaricomycetes    -          cm        1      117   964511   964621      +    no    1 0.34   0.0   15.7       4.7 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_6, whole genome shotgun sequence
NW_026260853.1       -         U6_Agaricomycetes    -          cm        1      117    25895    26000      +    no    1 0.33   0.2   15.5       5.5 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_72, whole genome shotgun sequence
NW_026260973.1       -         U6_Agaricomycetes    -          cm        1      117    20705    20817      +    no    1 0.35   0.0   15.5       5.6 ?   Pisolithus orientalis strain OTSU chromosome Unknown F5J12scaffold_192, whole genome shotgun sequence
#
# Program:         cmsearch
# Version:         1.1.5 (Sep 2023)
# Pipeline mode:   SEARCH
# Query file:      /projects/health_sciences/bms/biochemistry/brown_lab/davidc/JGI_Fungal_Pipeline_2026/core_cm/Agaricomycetes.core.cm
# Target file:     ./data/GCF_024613125.1_Pisori2_genomic.fna
# Option settings: cmsearch --tblout example_output/NCRNA/CM_core/input_genome.cmcore.tbl --cpu 128 /projects/health_sciences/bms/biochemistry/brown_lab/davidc/JGI_Fungal_Pipeline_2026/core_cm/Agaricomycetes.core.cm ./data/GCF_024613125.1_Pisori2_genomic.fna 
# Current dir:     /projects/health_sciences/bms/biochemistry/brown_lab/davidc/JGI_Fungal_Pipeline_2026
# Date:            Mon Jun 29 23:16:13 2026
# [ok]
